gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
ESPORTSTMNT06_2753012,complete,,LFL2,2023,Spring,0,2023-01-10 17:07:16,1,13.01,1,Blue,top,Wylenz,oe:player:60aff1184bec1d2b2efdae84f5b6e3e,Klanik Esport,oe:team:0ade5e44c23039bca133eee58ec1b83,Jax,Sylas,Caitlyn,Wukong,Akali,Yone,2612,1,4,0,6,13,7,1,1,0,0,0,0,0,0,0.2986,0.4594,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,1,0,14283,328.0934,0.150027,719.5406,878.9127,20,0.4594,5,0.1149,11,49,1.1256,18855,13251,304.3874,0.295868,15955,,399,367,32,,,9.1654,3163,4772,83,3087,4814,81,76,-42,2,0,0,0,0,0,0,5059,7946,143,4737,7683,131,322,263,12,0,0,0,0,0,0
ESPORTSTMNT06_2753012,complete,,LFL2,2023,Spring,0,2023-01-10 17:07:16,1,13.01,2,Blue,jng,Julbu,oe:player:fd78e127e45463dcfc2ea3836af0335,Klanik Esport,oe:team:0ade5e44c23039bca133eee58ec1b83,Poppy,Sylas,Caitlyn,Wukong,Akali,Yone,2612,1,2,2,4,13,7,0,0,0,0,0,0,0,0,0.2986,0.4594,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,0,0,6219,142.8560,0.0653236,847.3047,1513.9663,18,0.4135,11,0.2527,17,61,1.4012,12082,6478,148.8055,0.14464,11675,,159,23,136,,,3.6524,3035,3302,54,2948,3140,66,87,162,-12,0,0,0,0,0,0,4325,4637,74,4682,5960,117,-357,-1323,-43,0,0,0,0,0,0
ESPORTSTMNT06_2753012,complete,,LFL2,2023,Spring,0,2023-01-10 17:07:16,1,13.01,3,Blue,mid,Sintax,oe:player:baf7147fedeec5de54ca1f240952a3f,Klanik Esport,oe:team:0ade5e44c23039bca133eee58ec1b83,Taliyah,Sylas,Caitlyn,Wukong,Akali,Yone,2612,1,2,2,11,13,7,0,0,0,0,0,0,0,0,0.2986,0.4594,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,27028,620.8576,0.283899,365.3522,323.7289,23,0.5283,10,0.2297,7,49,1.1256,15722,10118,232.4196,0.225914,14525,,337,287,50,,,7.7412,3117,4927,85,3455,5174,103,-338,-247,-18,0,0,0,0,0,0,4956,7772,136,5435,8096,162,-479,-324,-26,0,0,0,0,0,0
ESPORTSTMNT06_2753012,complete,,LFL2,2023,Spring,0,2023-01-10 17:07:16,1,13.01,4,Blue,bot,Axelent,oe:player:8204ca38dc1c42012b5d53131271eb1,Klanik Esport,oe:team:0ade5e44c23039bca133eee58ec1b83,Ezreal,Sylas,Caitlyn,Wukong,Akali,Yone,2612,1,5,1,7,13,7,0,0,0,0,0,0,0,0,0.2986,0.4594,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,1,0,42005,964.8928,0.441215,398.4533,234.3721,17,0.3905,6,0.1378,5,47,1.0796,17332,11728,269.4028,0.261862,15225,,370,345,25,,,8.4992,3344,3377,94,3015,2948,75,329,429,19,0,0,0,0,0,0,5217,5647,142,5017,5355,122,200,292,20,0,0,0,1,0,0
ESPORTSTMNT06_2753012,complete,,LFL2,2023,Spring,0,2023-01-10 17:07:16,1,13.01,5,Blue,sup,Wixo,oe:player:bb97cd2e43cb0855f6485e6f9e93ea2,Klanik Esport,oe:team:0ade5e44c23039bca133eee58ec1b83,Karma,Sylas,Caitlyn,Wukong,Akali,Yone,2612,1,0,2,10,13,7,0,0,0,0,0,0,0,1,0.2986,0.4594,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,5668,130.1991,0.0595359,360.2757,284.1501,52,1.1945,8,0.1838,15,106,2.4349,8816,3212,73.7825,0.0717161,8125,,21,17,4,,,0.4824,1953,2367,1,2032,2825,3,-79,-458,-2,0,0,0,0,0,0,2827,3218,3,3043,3797,3,-216,-579,0,0,0,1,0,1,0
ESPORTSTMNT06_2753012,complete,,LFL2,2023,Spring,0,2023-01-10 17:07:16,1,13.01,6,Red,top,Anathar,oe:player:082439970ea1ebc85bde0b2a9ec147a,MS Company,oe:team:14ad76b8d9e647d4b29c3d26ecd29c9,Sejuani,Galio,Lucian,Fiora,Viktor,Azir,2612,0,0,4,3,7,13,0,0,0,0,0,0,0,0,0.1608,0.4594,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,1,12010,275.8806,0.140743,987.5191,1430.5590,10,0.2297,9,0.2067,3,43,0.9877,11796,6192,142.2358,0.178315,12025,,264,264,0,,,6.0643,3087,4814,81,3163,4772,83,-76,42,-2,0,0,0,0,0,0,4737,7683,131,5059,7946,143,-322,-263,-12,0,0,0,0,0,0
ESPORTSTMNT06_2753012,complete,,LFL2,2023,Spring,0,2023-01-10 17:07:16,1,13.01,7,Red,jng,nicolaiy,oe:player:ae50e71f31d35aee5c589498e3c1b17,MS Company,oe:team:14ad76b8d9e647d4b29c3d26ecd29c9,Viego,Galio,Lucian,Fiora,Viktor,Azir,2612,0,0,2,4,7,13,0,0,0,0,0,0,0,0,0.1608,0.4594,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,0,0,5910,135.7580,0.0692581,864.0965,1020.8729,7,0.1608,13,0.2986,7,57,1.3093,11711,6107,140.2833,0.175867,12150,,234,32,202,,,5.3752,2948,3140,66,3035,3302,54,-87,-162,12,0,0,0,0,0,0,4682,5960,117,4325,4637,74,357,1323,43,0,0,0,0,0,0
ESPORTSTMNT06_2753012,complete,,LFL2,2023,Spring,0,2023-01-10 17:07:16,1,13.01,8,Red,mid,Kuroneel,oe:player:79715a2d8a5dcfe07726c00e0f05433,MS Company,oe:team:14ad76b8d9e647d4b29c3d26ecd29c9,Syndra,Galio,Lucian,Fiora,Viktor,Azir,2612,0,3,3,3,7,13,0,0,0,0,0,0,0,0,0.1608,0.4594,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,29151,669.6248,0.341615,420.3675,250.7963,15,0.3446,10,0.2297,2,62,1.4242,14129,8525,195.8270,0.245501,14050,,311,303,8,,,7.1440,3455,5174,103,3117,4927,85,338,247,18,0,0,0,0,0,0,5435,8096,162,4956,7772,136,479,324,26,0,0,0,0,0,0
ESPORTSTMNT06_2753012,complete,,LFL2,2023,Spring,0,2023-01-10 17:07:16,1,13.01,9,Red,bot,Scripter,oe:player:0a6393f4da3a7c67232807ef2a0a0d1,MS Company,oe:team:14ad76b8d9e647d4b29c3d26ecd29c9,Zeri,Galio,Lucian,Fiora,Viktor,Azir,2612,0,3,3,2,7,13,1,0,0,0,1,1,0,0,0.1608,0.4594,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,1,22083,507.2665,0.258786,525.4364,677.7335,9,0.2067,16,0.3675,3,71,1.6309,16823,11219,257.7106,0.323083,15335,,411,403,8,,,9.4410,3015,2948,75,3344,3377,94,-329,-429,-19,0,0,0,0,0,0,5017,5355,122,5217,5647,142,-200,-292,-20,1,0,0,0,0,0
ESPORTSTMNT06_2753012,complete,,LFL2,2023,Spring,0,2023-01-10 17:07:16,1,13.01,10,Red,sup,Zimba,oe:player:451435072a48580d2b9f106c3552370,MS Company,oe:team:14ad76b8d9e647d4b29c3d26ecd29c9,Yuumi,Galio,Lucian,Fiora,Viktor,Azir,2612,0,1,1,6,7,13,0,0,0,0,1,0,1,0,0.1608,0.4594,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,16179,371.6462,0.189598,66.6845,45.0919,39,0.8959,1,0.0230,5,71,1.6309,8286,2682,61.6080,0.077234,7475,,6,6,0,,,0.1378,2032,2825,3,1953,2367,1,79,458,2,0,0,0,0,0,0,3043,3797,3,2827,3218,3,216,579,0,0,1,0,0,0,1
ESPORTSTMNT06_2753012,complete,,LFL2,2023,Spring,0,2023-01-10 17:07:16,1,13.01,100,Blue,team,,,Klanik Esport,oe:team:0ade5e44c23039bca133eee58ec1b83,,Sylas,Caitlyn,Wukong,Akali,Yone,2612,1,13,7,38,13,7,1,1,0,0,0,,,,0.2986,0.4594,0,4,3,4,3,0,0,0,4,0,0,,0,0,1,2,0,1,1,0,1,11,2,1,1,4,2,2,0,95203,2186.8989,,2690.9265,3235.1302,130,2.9862,40,0.9188,55,312,7.1669,72807,44787,1028.7979,,65505,0.0706496,,1039,247,,,29.5406,14612,18745,317,14537,18901,328,75,-156,-11,0,0,0,0,0,0,22384,29220,498,22914,30891,535,-530,-1671,-37,0,0,1,1,1,0
